sku,name,reason
228571,Servietten blau 40x40cm 3-lagig 1/8 Falz,nicht_in_excel
228572,Servietten grün 40x40cm 3-lagig 1/8 Falz,nicht_in_excel
228573,Servietten weiß 33x33cm 3-lagig 1/8 Falz,nicht_in_excel
228574,Servietten cream 33x33cm 3-lagig 1/8 Falz,nicht_in_excel
228575,Servietten gelb 33x33cm 3-lagig 1/8 Falz,nicht_in_excel
228576,Servietten rot 33x33cm 3-lagig 1/8 Falz,nicht_in_excel
228577,Servietten bordeaux 33x33cm 3-lagig 1/8 Falz,nicht_in_excel
228578,Servietten blau 33x33cm 3-lagig 1/8 Falz,nicht_in_excel
228579,Servietten grün 33x33cm 3-lagig 1/8 Falz,nicht_in_excel
228583,Servietten weiß 33x33cm 2-lagig 1/4 Falz,nicht_in_excel
228584,Servietten cream 33x33cm 2-lagig 1/4 Falz,nicht_in_excel
228585,Servietten gelb 33x33cm 2-lagig 1/4 Falz,nicht_in_excel
228586,Servietten orange 33x33cm 2-lagig 1/4 Falz,nicht_in_excel
228587,Servietten rot 33x33cm 2-lagig 1/4 Falz,nicht_in_excel
228588,Servietten bordeaux 33x33cm 2-lagig 1/4 Falz,nicht_in_excel
228589,Servietten blau 33x33cm 2-lagig 1/4 Falz,nicht_in_excel
228590,Servietten grün 33x33cm 2-lagig 1/4 Falz,nicht_in_excel
228594,Servietten weiß 24x24cm 3-lagig 1/4 Falz,nicht_in_excel
228595,Servietten cream 24x24cm 3-lagig 1/4 Falz,nicht_in_excel
228596,Servietten gelb 24x24cm 3-lagig 1/4 Falz,nicht_in_excel
228597,Servietten orange 24x24cm 3-lagig 1/4 Falz,nicht_in_excel
228598,Servietten rot 24x24cm 3-lagig 1/4 Falz,nicht_in_excel
228599,Servietten bordeaux 24x24cm 3-lagig 1/4 Falz,nicht_in_excel
228600,Servietten blau 24x24cm 3-lagig 1/4 Falz,nicht_in_excel
228601,Servietten grün 24x24cm 3-lagig 1/4 Falz,nicht_in_excel
228602,Servietten grau 24x24cm 3-lagig 1/4 Falz,nicht_in_excel
228663,Servietten weiß 24x24cm 2-lagig 1/4 Falz,nicht_in_excel
229339,Servietten schwarz 40x40cm 3-lagig 1/4 Falz,nicht_in_excel
229340,Servietten schwarz 24x24cm 3-lagig 1/4 Falz,nicht_in_excel
229343,Servietten schwarz 33x33cm 3-lagig 1/4 Falz,nicht_in_excel
229344,Servietten schwarz 33x33cm 2-lagig 1/4 Falz,nicht_in_excel
230779,Servietten grün 33x33cm 3-lagig 1/8 Falz,nicht_in_excel
232170,Servietten schwarz 33x33cm 3-lagig 1/8 Falz,nicht_in_excel
232255,Servietten orange 33x33cm 3-lagig 1/8 Falz,nicht_in_excel
234865,Snackschale Pappe A20,nicht_in_excel
